,name,description1,description2,description3,description4,description5,description6
92,HELP,Online Help,Access online help documentation and assistance,Retrieve information and documentation related to command-line commands,Obtain context-sensitive help and guidance for commands,Access built-in help resources and documentation for command-line operations,obtain detailed information and explanations for specific command-line commands and functions.
93,HOSTNAME,Display the host name of the computer,Display the host name of the computer,Retrieve and show the computer's host name,Obtain the host name of the computer for identification purposes ,view and confirm the current host name of the computer. ,Display the machine's host name as assigned in the network
94,iCACLS,Change file and folder permissions,Modify file and folder permissions,change and manage permissions for files and directories.,Administer and customize access rights for files and folders,Control and manipulate file and folder permissions with precision,adjust and configure access permissions for files and directories on the system.
95,IEXPRESS,Create a self extracting ZIP file archive,Generate a self-extracting ZIP file archive,create a standalone executable that extracts a ZIP archive upon execution.,Build a self-extracting compressed archive,Package files into a self-extracting executable ZIP file,create a self-extracting archive for simplified deployment and extraction of files.
96,IF,Conditionally perform a commandʥ,Conditionally execute a command based on a specified condition ,"Implement conditional logic in a batch script, allowing for the execution of commands based on defined criteria",perform commands selectively based on evaluated conditions.,Enable conditional execution of commands in a batch scrip,implement logic and execute commands conditionally in a script or batch file.
97,IFMEMBER,Is the current user a member of a group,Determine if the current user is a member of a specified group,assess the group membership status of the current user in a batch script or command.,Conditionally execute commands based on the current user's group membership status,check if the current user belongs to a specific group before proceeding with commands.,Determine and act on the current user's group membership
98,IPCONFIG,Configure IP,Display configuration information for all network interfaces,"Retrieve and view IP configuration details, including IP address and subnet mask","obtain information about network interfaces, including IP addresses and related settings.",inspect and manage IP configuration settings on a computer.,Diagnose and troubleshoot network connectivity by examining IP configuration
99,INUSE,Replace files that are in use by the OS,Replace files that are currently in use by the operating system,Perform file replacements even for files in active use by the OS,Facilitate the replacement of files that are currently in use by the system ,Update files that are in active use by the operating system,"seamlessly replace files, even those in use by the OS, for efficient updates."
100,KLIST,List cached Kerberos tickets, Display a list of cached Kerberos tickets,Retrieve and view information about cached Kerberos tickets on the system ,list and inspect Kerberos tickets that are currently cached on the computer.,Obtain details about active Kerberos tickets cached on the system,examine and display information about Kerberos tickets stored in the cache.
101,LABEL,Edit a disk label,Modify or set a disk label for clear identification,Edit and manage disk labels for improved organization and identification,customize and update the label of a disk for easy recognition.,Assign or modify a disk label to enhance identification and categorization ,edit and set disk labels for better organization and clarity.
102,LGPO,Local Group Policy Object utility,Utilize the Local Group Policy Object utility  to manage and configure local group policies on a system.,Administer local group policy settings efficiently using the Local Group Policy Object utility for precise control.,customize and enforce local group policy settings on a computer for security and configuration.,utility to implement and manage local group policies with ease.,"Manage, configure, and enforce local group policies for effective system control."
